already complexed:  909009694.xml | 11670 | Alföldi Tej Értékesítő És Beszerző Kft. | Alföldi Tej Értékesítő és Beszerző Korlátolt Felelősségű Társaság
MATCHED:     | 109681143.xml | 4273 | RK Tech Vagyonkezelő Kft. | RK Tech Vagyonkezelő, Ingatlan Hasznosító Korlátolt Felelősségű Társaság
MATCHED:     | 109164361.xml | 20216 | Pillér Pénzügyi és Számítástechnikai Kft. | Pillér Pénzügyi és Számítástechnikai Korlátolt Felelősségű Társaság
MATCHED:     | 109677650.xml | 3891 | Carneimpex Kft. | CARNEIMPEX Vendéglátóipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 105230324.xml | 389 | BKV Vasúti Járműjavító Kft. | BKV Vasúti Járműjavító Szolgáltató Kft. felelősségvállalásával működő "Villamos Hajtómű és Kerékpárjavító" Gazdasági Munkaközösség
MATCHED:     | 1509064000.xml | 4856 | I. CONTROLL Kft. | I. CONTROLL Hajózási, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 309000549.xml | 6099 | Kunfa Kft. | "KUNFA" Kunpusztai Fafeldolgozó Korlátolt Felelősségű Társaság
MATCHED:     | 909011691.xml | 1293 | Debreceni Sportuszoda Kft. | DEBRECENI SPORTUSZODA Beruházó és Üzemeltető Korlátolt Felelősségű Társaság "v.a."
MATCHED:     | 109074863.xml | 2823 | Kowax Kft. | KOWAX Kereskedelmi, Fejlesztő és Gyártó Kft.
MATCHED:     | 109697231.xml | 958 | Lányi Anita Építészeti Stúdió Kft. | Lányi Anita Építészeti Stúdió és Kiadói Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109468061.xml | 7141 | DELTA-BUILD Építőipari és Szolgáltató Kft. | DELTA-BUILD Építőipari és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1306059657.xml | 2010 | Made in Design Bt. | Made in Design Kereskedelmi és Szolgáltató Betéti Társaság
MATCHED:     | 1109005844.xml | 6915 | Korintosz Műemlékvédelmi és Építőipari Kft. | Korintosz Műemlékvédelmi és Építőipari Korlátolt Felelősségű Társaság
MATCHED:     | 310100386.xml | 6625 | Dél-alföldi Regionális Szakképzés-szervezési Nonprofit Zártkörűen Működő Kiemelkedően Közhasznú Részvénytársaság | Dél-alföldi Regionális Szakképzés-szervezési Nonprofit Zártkörűen Működő Kiemelkedően Közhasznú Részvénytársaság
MATCHED:     | 1209003189.xml | 646 | Citynet Kft. | CITYNET ALPHA Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 1305023232.xml | 2961 | Duna-Dráva Cement Kft. | Duna-Dráva Cement- és Mészművek Kft. felelősségvállalásával működő Hő- és Melegvízszolgáltató Gazdasági Munkaközösség
MATCHED:     | 109689756.xml | 6670 | I-COM Kft. | COM. I. TECH Hungary Távközlési Korlátolt Felelősségű Társaság
MATCHED:     | 1309083224.xml | 2406 | Pro A Kft. | ,, Pro Vóbis Orvosi Korlátolt Felelősségű Társaság''
MATCHED:     | 209062461.xml | 5017 | Hidrot Kft. | HIDROT Ipari Gyártó-, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1609009762.xml | 7303 | EDU-RÉGIÓ Szakképzési Szolgáltató Közhasznú Nonprofit Kft. | EDU-RÉGIÓ Szakképzési Szolgáltató Közhasznú Nonprofit Korlátolt Felelősségű Társaság
MATCHED:     | 109464626.xml | 3938 | Medi-Radiopharma Kft. | MEDI-RADIOPHARMA Egészségügyi Szervező, Tanácsadó, Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 914000061.xml | 21685 | DEBRECENI CAMPUS Szolgáltató és Tanácsadó Közhasznú Társaság . Átalakulás módja: társasági formaváltás | DEBRECENI CAMPUS Szolgáltató és Tanácsadó Közhasznú Társaság
MATCHED:     | 609000247.xml | 6017 | Metrimed Kft. | METRIMED Orvosi Müszergyártó KFT.
MATCHED:     | 1514000135.xml | 22326 | NYÍR-TEL-SZOL Nyírteleki Településüzemeltetési és Szolgáltató Közhasznú Társaság | NYÍR-TEL-SZOL Nyírteleki Településüzemeltetési és Szolgáltató Közhasznú Társaság
MATCHED:     | 109366173.xml | 3330 | Edri Ingatlanforgalmazó Kft. | EDRI Nyomdaipari és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 309118371.xml | 5842 | Bajai Kommunális és Szolgáltató Nonprofit Kft. | Bajai Kommunális és Szolgáltató Nonprofit Korlátolt Felelősségű Társaság
MATCHED:     | 409001752.xml | 4893 | GYOMASZOLG IPARI PARK KFT. | GYOMASZOLG IPARI PARK Építő és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 609011519.xml | 3868 | MRLJÁK Nagykereskedelmi Kft. | MRLJÁK Nagykereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 1309069518.xml | 1435 | Har and Mar Kft. | HAR & MAR BUSINES HOLDING Tanácsadó és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 610000275.xml | 1607 | Coop Szeged Zrt. | COOP Szeged Kereskedelmi Regionális Zártkörű Részvénytársaság
MATCHED:     | 1310040672.xml | 104 | Herba Hungary Zrt. | HERBA HUNGARY Kereskedelmi Zártkörű Részvénytársaság
MATCHED:     | 1009028913.xml | 4107 | BHB 2000 Építési Kft. | BHB 2000 Építési Korlátolt Felelősségű Társaság
MATCHED:     | 309116752.xml | 7595 | Jánoshalmi Kistérségi Egészségügyi Központ Nonprofit Közhasznú Kft. | JÁNOSHALMI KISTÉRSÉGI EGÉSZSÉGÜGYI KÖZPONT Nonprofit Közhasznú Korlátolt Felelősségű Társaság
MATCHED:     | 109710659.xml | 20995 | PARA Gazdasági Tanácsadó Korlátolt Felelősségű Társaság | PARA Gazdasági Tanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 109890869.xml | 1233 | PQS International Hungary Kft. | PQS International Hungary Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 509005743.xml | 5011 | ARCHINVEST 97. KFT. | ARCHINVEST ÉPÍTŐIPARI, SZOLGÁLTATÓ, TANÁCSADÓ ÉS KERESKEDELMI KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁGARCHINVEST 97. ÉPÍTŐIPARI, SZOLGÁLTATÓ, TANÁCSADÓ ÉS KERESKEDELMI KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG
MATCHED:     | 109918575.xml | 6521 | Mind Center Kft. | MIND CENTER Tanácsadó és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109721145.xml | 72 | Öböl XI. Kft. | ÖBÖL XI. Ingatlanhasznosítási Beruházó és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 114000427.xml | 7046 | Fogyatékos Személyek Esélyegyenlőségéért Közalapítvány | ESÉLY XXI. Szolgáltató és Rehabilitációs Közhasznú társaság
MATCHED:     | 1009021309.xml | 4424 | GEOTEAM Kft. | GEOTEAM Kutatási és Vállalkozási Korlátolt Felelősségű Társaság
MATCHED:     | 109909239.xml | 4461 | Via Plaza Kft. | Via Plaza Tervező, Építő és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 1509064163.xml | 1955 | Pénzes Sándor és Felesége Kft. | PÉNZES SÁNDOR ÉS FELESÉGE Kereskedelmi és Szolgáltató Korlátolt Felelősségű TársaságPÉNZES SÁNDOR ÉS FELESÉGE Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság "felszámolás alatt"
MATCHED:     | 910000063.xml | 1688 | Héliker Rt. | HÉLIKER Kereskedelmi Zártkörűen Működő Részvénytársaság
MATCHED:     | 1809000356.xml | 6651 | GENERÁL Építőmester Építőipari Kivitelező Korlátolt Felelősségű Társaság | GENERÁL Építőmester Építőipari Kivitelező Korlátolt Felelősségű Társaság
MATCHED:     | 1514000057.xml | 21320 | ZSADÁNY Víz- és Csatornamű Közhasznú Társaság | "ZSADÁNY" Víz- és Csatornamű Közhasznú Társaság
MATCHED:     | 1409300675.xml | 7590 | Kaffka Kft. | KAFFKA Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 110045125.xml | 86 | Bábolna Rt. | Bábolna Élelmiszeripari Részvénytársaság
MATCHED:     | 1110001651.xml | 1691 | Védvár 2008 Zrt. | VÉDVÁR 2008 Biztonságtechnikai, Informatikai és vagyonvédelmi Szolgáltató Zártkörűen Működő Részvénytársaság
MATCHED:     | 109362923.xml | 2671 | Poligon Holding Kft. | POLIGON Holding Befektető és Üzleti Tanácsadó Korlátolt Felelősségű TársaságPOLIGON HOLDING Befektető és Üzleti Tanácsadó Korlátolt Felelősségű társaság "végelszámolás alatt"
MATCHED:     | 110044376.xml | 6957 | Systrend Számítástechnikai Zrt. | SYSTREND Számítástechnikai Zártkörűen Működő Részvénytársaság
MATCHED:     | 1209005624.xml | 5772 | Diagonál Épker Kft. | Diagonál Épker Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 110045051.xml | 3355 | Top Cop Security Zrt. | Top Cop Security Vagyonvédelmi és Szolgáltató Zártkörűen Működő Részvénytársaság
MATCHED:     | 110045869.xml | 2318 | Extreme Digital Zrt. | Extreme Digital Zártkörűen Működő Részvénytársaság
MATCHED:     | 110046445.xml | 526 | E-OS Innovatív Zrt. | E-OS INNOVATÍV Energetikai Zártkörűen Működő Részvénytársaság
MATCHED:     | 510000130.xml | 3535 | Északtej Rt. | ÉSZAKTEJ Tejipari Részvénytársaság
MATCHED:     | 610000101.xml | 1298 | Dalerd Erdészeti Zrt. | DALERD Délalföldi Erdészeti Zártkörűen Működő Részvénytársaság
MATCHED:     | 709013926.xml | 4242 | V-DBK Fővállalkozói Kft. | V-DBK Fővállalkozói Korlátolt Felelősségű Társaság
MATCHED:     | 609009558.xml | 2755 | Agrologik Kft. | AgroLogik Plusz Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 110042639.xml | 2529 | Hírlapkiadó Rt. | Hírlapkiadó Kiadási és Hirdetési Részvénytársaság "felszámolás alatt"
MATCHED:     | 1610001335.xml | 6076 | Tisza Cipő Zrt. | Tisza Cipő Zártkörűen működő részvénytársaság
MATCHED:     | 1409001138.xml | 6186 | Akva-Plast Tetőszigetelő Kft. | AKVA PLAST Tetőszigetelő Korlátolt Felelősségű Társaság
MATCHED:     | 909017789.xml | 5830 | DIVÁR-BAU KFT. | Divár-Bau Korlátolt Felelősségű Társaság
MATCHED:     | 1309108504.xml | 2962 | Investeur Kft. | Investeur Befektetési és Tanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 909001359.xml | 1797 | AKSD Kft. | A.K.S.D. Városgazdálkodási Korlátolt Felelősségű Társaság
MATCHED:     | 109263365.xml | 2066 | City Bróker Kft. | City Bróker Tanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 109711634.xml | 3005 | Magyar Egyetemi Kiadó Kft. | Magyar Egyetemi Kiadó Korlátolt Felelősségű Társaság "felszámolás alatt "
MATCHED:     | 609008345.xml | 6539 | TMV Tisza-Maros Kft. | TMV Tisza-Maros Víziközmű Üzemeltető Kft.
MATCHED:     | 809002633.xml | 5767 | KRAVTEX KERESKEDELMI Kft. | KRAVTEX KERESKEDELMI KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG
MATCHED:     | 109860531.xml | 3827 | Tigra Kft. | "Tigra Business Intelligence Central Europe Consulting Korlátolt Felelősségű Társaság"
MATCHED:     | 909003289.xml | 2822 | Hatvan Ingatlanfejlesztő Kft. | Hatvan Ingatlanfejlesztő Ipari és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1309118407.xml | 2493 | Dual 2001 Kft. | DUAL 2001 "Ingatlanforgalmazó Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1609002954.xml | 6944 | Papiron Kft. | PAPIRON keresekedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 1009021394.xml | 20252 | Garamond 91 Kft. | G A R A M O N D Kiadványszerkesztő Stúdió Korlátolt Felelősségű TársaságGARAMOND 9l. Kiadványszerkesztő Stúdió Korlátolt Felelősségű Társaság
MATCHED:     | 109680982.xml | 7067 | DSS Consulting Informatikai és Tanácsadó Kft. | DSS Consulting Informatikai és Tanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 1309087124.xml | 7243 | Csőfek Kft. | CSŐFEK Építőipari és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109071422.xml | 5153 | Mérföldkő Kft. | "Mérföldkő" Közlekedési Fejlesztő és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109713475.xml | 2107 | Crescom Kft. | CRESCOM Kereskedelmi, Gyártó és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109727196.xml | 6252 | Mészáros Udvar-Ház Kft. | MÉSZÁROS Udvar-Ház Energiagazdálkodási és Létesítményüzemeltető Korlátolt Felelősségű Társaság
MATCHED:     | 1409306108.xml | 722 | Hertelendy Kastélyszálló | Hertelendy Kastélyszálló Szálloda és Konferencia Központ Korlátolt Felelősségű Társaság
MATCHED:     | 706007073.xml | 2198 | Blue Sun Bt. | "Blue Sun '97" Kereskedelmi és Szolgáltató Betéti Társaság" Blue Sun '97" Kereskedelmi és Szolgáltató Betéti Társaság "felszámolás alatt "
MATCHED:     | 1309116473.xml | 4231 | Pro Szentendre Kft. | Pro Szentendre Városfejlesztési Korlátolt Felelősségű Társaság
MATCHED:     | 109705900.xml | 3901 | Plan-ex 2002 Kft. | PLAN-EX 2002 Ipari és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1506090257.xml | 2609 | Eastern-Gate Bt. | "EASTERN-GATE" Kereskedelmi és Szolgáltató Betéti Társaság
MATCHED:     | 1614000051.xml | 24245 | Szakképző Oktatási és Szolgáltató Közhasznú Társaság | Szakképző Oktatási és Szolgáltató Közhasznú Társaság
MATCHED:     | 110041364.xml | 201 | Magyar Turizmus Zrt. | Magyar Turizmus RészvénytársaságMagyar Turizmus Zártkörűen Működő Részvénytársaság
MATCHED:     | 110041828.xml | 21535 | Magyar Villamos Művek Zártkörűen Működő Részvénytársaság | Magyar Villamos Művek Zártkörűen Működő RészvénytársaságMagyar Villamos Művek Zártkörűen Működő Részvénytársaság
MATCHED:     | 109364505.xml | 7055 | KÁRÁSZY Kft. | KÁRÁSZY Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109715742.xml | 2660 | Cash & Limes Zrt. | '98 HSI TOURS Idegenforgalmi és Szolgáltató Korlátolt Felelősségű Társaság "felszámolás alatt "
MATCHED:     | 609007287.xml | 6354 | SISÁK Építőipari, Kereskedelmi és Szolgáltató Kft. | Sisák Építőipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109705701.xml | 3049 | Astral European 2002 Tanácsadó Kft. | ASTRAL EUROPEAN 2002 Tanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 109717018.xml | 6184 | EMTREK Vállalkozásfejlesztési Tanácsadó Kft. | EMTREK Vállalkozásfejlesztési Tanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 106775821.xml | 20226 | CÖLLIN Művészeti Szolgáltató Betéti Társaság | CÖLLIN Művészeti Szolgáltató Betéti Társaság
MATCHED:     | 109880158.xml | 7174 | Arrow International Hungary Kft. | ARROW INTERNATIONAL HUNGARY Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság "végelszámolás alatt"
MATCHED:     | 1506092732.xml | 4383 | Lina-Basa Bt. | LINA-BASA Szolgáltató, Építőipari és Kereskedelmi Betéti Társaság
MATCHED:     | 914000036.xml | 20391 | Euro-Régió Ház Közhasznú Társaság | Euro-Régió Ház Közhasznú Társaság
MATCHED:     | 1509070357.xml | 327 | Advertum Kft. | ADVERTUM Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 2009064554.xml | 4783 | Trió Egerszeg Kft. | TRIÓ EGERSZEG Kereskedelmi, Szolgáltató és Vállalkozói Korlátolt Felelősségű Társaság
MATCHED:     | 1010020247.xml | 5872 | ÉMOR-TISZK Zrt. | ÉMOR-TISZK Észak-magyarországi Szakképzés-szervezési Nonprofit Kiemelkedően Közhasznú Zártkörűen Működő Részvénytársaság
MATCHED:     | 806004532.xml | 658 | Medici Travel Bt. | MEDICI TRAVEL Utazási, Szolgáltató Betéti Társaság
MATCHED:     | 609006411.xml | 2300 | Dózer-Ép Kft. | DÓZER - ÉP Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109564374.xml | 3839 | Le Chéque Déjeuner Étkezési és Utalvány Gyártó és Forgalmazó Kft. | LE CHÉQUE DÉJEUNER Étkezési Utalvány Gyártó és Forgalmazó Korlátolt Felelősségű Társaság
MATCHED:     | 110041819.xml | 3905 | Pátria Nyomda Zrt. | Pátria Nyomda Zártkörűen Működő Részvénytársaság
MATCHED:     | 110041688.xml | 599 | Ikarus Rt. | IKARUS Holding Zártkörűen működő Részvénytársaság "felszámolás alatt "
MATCHED:     | 109361870.xml | 4554 | MEDIBIS Kft. | MEDIBIS Külkereskedelmi és Vállalkozásszervező Kft.
MATCHED:     | 309118862.xml | 4849 | EMEL-INVEST Kft. | EMEL-INVEST Beruházás Szervező Korlátolt Felelősségű Társaság
MATCHED:     | 109689819.xml | 2333 | Infigate Hungary Távközlési Kft. | INFIGATE Hungary Távközlési Korlátolt Felelősségű Társaság "felszámolás alatt "
MATCHED:     | 110043717.xml | 21794 | HARCON Építő és Szerelő Zártkörűen Működő Részvénytársaság | HARCON Építő és Szerelő Zártkörűen Működő Részvénytársaság
MATCHED:     | 110042085.xml | 2680 | Garantiqa Hitelgarancia Zrt. | Garantiqa Hitelgarancia Zártkörűen Működő Részvénytársaság
MATCHED:     | 609003765.xml | 1032 | Szegedi Vásár és Piac Kft. | Szegedi Vásár és Piac Üzemeltető Kft
MATCHED:     | 109896449.xml | 1489 | Autó-Danubia Kereskedelmi Kft. |  Autó-Danubia Autókereskedelmi és Forgalmazó Korlátolt Felelősségű Társaság
MATCHED:     | 2009060103.xml | 4845 | Kerka IKSZ Kft. | KERKA Ipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109065980.xml | 1819 | Biosan Kft. | BIOSAN Egészségügyi Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1709003275.xml | 6942 | Tam-Bau Kft. | "TAM-BAU" Építőipari, Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 909010555.xml | 2794 | Medcenter Kft. | MEDCENTER Egészségügyi és Szolgáltató Nonprofit Közhasznú Korlátolt Felelősségű Társaság
MATCHED:     | 906008350.xml | 5765 | ARCHEODATA 1998 Bt. | ARCHEODATA 1998. Kereskedelmi és Szolgáltató Betéti Társaság
MATCHED:     | 909005148.xml | 23886 | HospNET Egészségügyi Informatikai Kft. | HospNET Egészségügyi Informatikai Korlátolt Felelősségű Társaság
MATCHED:     | 1809107018.xml | 5971 | Titán-Beton Kft. | TITÁN-BETON Építőipari Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 309114820.xml | 2117 | Magyar Tojás Kft. | MAGYAR TOJÁS Tojásértékesítő Korlátolt Felelősségű Társaság
MATCHED:     | 1110001601.xml | 987 | Oroszlányi Szolgáltató Zrt. | Oroszlányi Szolgáltató Zártkörűen Működő Részvénytársaság
MATCHED:     | 110046093.xml | 2630 | Force Motrice Zrt. | FORCE MOTRICE Zártkörűen Működő Részvénytársaság
MATCHED:     | 109169713.xml | 5160 | INNOBER-WAVE Kft. | INNOBER WAVE Építőipari és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1409307636.xml | 6845 | ÚJHELY-BAU Építőipari, Kereskedelmi és Szolgáltató Kft. | "ÚJHELY-BAU" Építőipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109739852.xml | 7321 | Mota-Szer Kft. | MOTA-SZER Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1509062295.xml | 4737 | Czimre és Társa Kft. | Czimre és Társa Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1309102655.xml | 3924 | GENÉPSZER Kft. | GENÉPSZER Generál Építő és Szerelőipari Korlátolt Felelősségű Társaság
MATCHED:     | 102051585.xml | 20555 | VEKTOR Munkavédelmi, Müszaki Fejlesztő és Gyártó Szövetkezet | VEKTOR Munkavédelmi, Müszaki Fejlesztő és Gyártó Szövetkezet
